,Date,adj_close,close,low,high,open,volume
1441,2021-04-19,13.90625,13.90625,13.170742988586426,16.31217384338379,13.382235527038574,630324923.0
1442,2021-04-20,13.432103157043455,13.432103157043455,12.665745735168455,13.862005233764648,13.862005233764648,458152962.0
1443,2021-04-21,13.28115940093994,13.28115940093994,13.188298225402832,14.427868843078612,13.420230865478516,461698588.0
1444,2021-04-22,13.649862289428713,13.649862289428713,12.983264923095703,15.569744110107422,13.243371963500977,761066071.0
1445,2021-04-23,14.08147144317627,14.08147144317627,12.877761840820312,14.293304443359377,13.630114555358888,702388284.0
1446,2021-04-24,15.56937026977539,15.56937026977539,13.623051643371582,16.498836517333984,14.104825019836426,688497333.0
1447,2021-04-25,17.663372039794922,17.663372039794922,15.55008316040039,18.921838760375977,15.55008316040039,1011194370.0
1448,2021-04-26,17.617042541503906,17.617042541503906,16.96685218811035,18.05221939086914,17.711538314819336,578711859.0
1449,2021-04-27,17.721141815185547,17.721141815185547,17.181760787963867,19.582481384277344,17.62798309326172,741447974.0
1450,2021-04-28,16.81857681274414,16.81857681274414,16.463916778564453,17.884422302246094,17.686107635498047,491301842.0
1451,2021-04-29,16.236839294433594,16.236839294433594,15.870685577392578,16.938674926757812,16.824548721313477,354547373.0
1452,2021-04-30,16.687427520751953,16.687427520751953,15.787853240966797,16.936307907104492,16.241518020629883,305117919.0
1453,2021-05-01,16.541624069213867,16.541624069213867,16.3971004486084,16.81279182434082,16.689847946166992,202252167.0
1454,2021-05-02,17.14510154724121,17.14510154724121,16.426698684692383,17.566925048828125,16.55113983154297,352739885.0
1455,2021-05-03,17.284818649291992,17.284818649291992,17.145662307739258,19.178232192993164,17.147329330444336,759634434.0
1456,2021-05-04,16.337411880493164,16.337411880493164,15.865406036376951,17.44942283630371,17.24744415283203,599002545.0
1457,2021-05-05,17.01775360107422,17.01775360107422,16.25883674621582,17.510597229003906,16.287294387817383,477407590.0
1458,2021-05-06,16.768295288085938,16.768295288085938,16.350168228149414,17.442556381225586,17.020973205566406,468879426.0
1459,2021-05-07,16.582763671875,16.582763671875,16.44303321838379,16.953113555908203,16.770702362060547,298736981.0
1460,2021-05-08,16.984989166259766,16.984989166259766,16.514652252197266,17.136747360229492,16.548839569091797,296570075.0
1461,2021-05-09,16.993803024291992,16.993803024291992,16.698549270629883,17.452238082885742,16.983137130737305,323898829.0
1462,2021-05-10,15.86888313293457,15.86888313293457,15.578743934631348,18.13555335998535,16.992687225341797,600116426.0
1463,2021-05-11,16.311174392700195,16.311174392700195,15.250176429748535,16.43790054321289,15.83999252319336,371019480.0
1464,2021-05-12,14.475173950195312,14.475173950195312,14.475173950195312,17.903213500976562,16.3106632232666,685160029.0
1465,2021-05-13,15.895573616027832,15.895573616027832,13.760734558105469,16.993858337402344,14.634832382202148,889492339.0
1466,2021-05-14,16.405128479003906,16.405128479003906,15.188090324401855,16.956886291503906,15.902411460876465,417593665.0
1467,2021-05-15,15.21720027923584,15.21720027923584,15.192091941833496,16.60983657836914,16.403606414794922,369644430.0
1468,2021-05-16,16.182369232177734,16.182369232177734,15.177348136901855,17.383291244506836,15.203475952148438,643735925.0
1469,2021-05-17,14.957592010498049,14.957592010498049,14.701363563537598,16.186311721801758,16.16855239868164,459069987.0
1470,2021-05-18,15.704337120056152,15.704337120056152,14.712928771972656,16.189273834228516,14.951287269592283,446711529.0
1471,2021-05-19,9.64405345916748,9.64405345916748,9.284618377685549,15.920552253723145,15.684366226196287,893390852.0
1472,2021-05-20,10.40572738647461,10.40572738647461,8.129413604736328,11.826238632202148,9.514481544494627,773515173.0
1473,2021-05-21,8.265974998474121,8.265974998474121,7.184109210968018,11.617987632751465,10.369817733764648,570530649.0
1474,2021-05-22,6.583102226257324,6.583102226257324,6.538296222686768,8.326571464538574,8.280922889709473,446721261.0
1475,2021-05-23,4.107669830322266,4.107669830322266,3.941014051437378,7.132157802581787,6.609193801879883,630355890.0
1476,2021-05-24,6.590835094451904,6.590835094451904,4.0935587882995605,7.301898002624512,4.0935587882995605,1367339318.0
1477,2021-05-25,6.638655185699463,6.638655185699463,5.192495822906494,7.02160120010376,6.621994018554688,983743609.0
1478,2021-05-26,7.334159851074219,7.334159851074219,6.406422138214111,7.95954704284668,6.647719860076904,870305439.0
1479,2021-05-27,6.653355121612549,6.653355121612549,6.434176921844482,7.353544235229492,7.353544235229492,473890311.0
1480,2021-05-28,5.898266792297363,5.898266792297363,5.402316093444824,6.86046314239502,6.704811096191406,499145277.0
1481,2021-05-29,5.490818977355957,5.490818977355957,5.112742900848389,6.137331008911133,5.901637077331543,260746971.0
1482,2021-05-30,6.218207836151123,6.218207836151123,5.124777793884277,6.594790935516357,5.49768590927124,356284221.0
1483,2021-05-31,6.563470840454102,6.563470840454102,5.612483978271484,6.600808143615723,6.204123973846436,418073567.0
1484,2021-06-01,6.303988933563232,6.303988933563232,6.098147869110107,6.667284965515137,6.547042846679688,247765969.0
1485,2021-06-02,6.841399192810059,6.841399192810059,6.078182220458984,7.231410980224609,6.300762176513672,295307198.0
1486,2021-06-03,7.672639846801758,7.672639846801758,6.692244052886963,7.8714189529418945,6.8429951667785645,465303499.0
1487,2021-06-04,6.385731220245361,6.385731220245361,5.9839301109313965,7.689085006713867,7.68228006362915,596100268.0
1488,2021-06-05,6.055346012115479,6.055346012115479,5.7959160804748535,6.907997131347656,6.386910915374756,326527930.0
1489,2021-06-06,6.249195098876953,6.249195098876953,6.039073944091797,6.33364200592041,6.042133808135986,153164441.0
1490,2021-06-07,5.584114074707031,5.584114074707031,5.523568153381348,6.661970138549805,6.25507402420044,262616556.0
1491,2021-06-08,5.619856834411621,5.619856834411621,4.913589000701904,5.772832870483398,5.6032328605651855,289720019.0
1492,2021-06-09,6.0163421630859375,6.0163421630859375,5.261096954345703,6.040268898010254,5.601802825927734,245316664.0
