,Date,Cryptocurrency,adj_close,close,high,low,open,volume
264,2018-01-15,ADA-USD,0.7785869836807251,972993024.0,972993024.0,972993024.0,972993024.0,972993024.0
265,2018-01-16,ADA-USD,0.626492977142334,1632649984.0,1632649984.0,1632649984.0,1632649984.0,1632649984.0
266,2018-01-17,ADA-USD,0.6291019916534424,1713769984.0,1713769984.0,1713769984.0,1713769984.0,1713769984.0
267,2018-01-18,ADA-USD,0.6598430275917053,1285490048.0,1285490048.0,1285490048.0,1285490048.0,1285490048.0
268,2018-01-19,ADA-USD,0.6504979729652405,584574016.0,584574016.0,584574016.0,584574016.0,584574016.0
269,2018-01-20,ADA-USD,0.7075099945068359,738798976.0,738798976.0,738798976.0,738798976.0,738798976.0
270,2018-01-21,ADA-USD,0.6131629943847656,847731008.0,847731008.0,847731008.0,847731008.0,847731008.0
271,2018-01-22,ADA-USD,0.5704579949378967,522984000.0,522984000.0,522984000.0,522984000.0,522984000.0
272,2018-01-23,ADA-USD,0.5630699992179871,375958016.0,375958016.0,375958016.0,375958016.0,375958016.0
273,2018-01-24,ADA-USD,0.6222079992294312,689838016.0,689838016.0,689838016.0,689838016.0,689838016.0
274,2018-01-25,ADA-USD,0.6374949812889099,654814016.0,654814016.0,654814016.0,654814016.0,654814016.0
275,2018-01-26,ADA-USD,0.6233819723129272,810062016.0,810062016.0,810062016.0,810062016.0,810062016.0
276,2018-01-27,ADA-USD,0.616832971572876,331308992.0,331308992.0,331308992.0,331308992.0,331308992.0
277,2018-01-28,ADA-USD,0.6702859997749329,325145984.0,325145984.0,325145984.0,325145984.0,325145984.0
278,2018-01-29,ADA-USD,0.6232039928436279,238318000.0,238318000.0,238318000.0,238318000.0,238318000.0
279,2018-01-30,ADA-USD,0.5319129824638367,359622016.0,359622016.0,359622016.0,359622016.0,359622016.0
280,2018-01-31,ADA-USD,0.5193150043487549,505904000.0,505904000.0,505904000.0,505904000.0,505904000.0
281,2018-02-01,ADA-USD,0.421671986579895,595624000.0,595624000.0,595624000.0,595624000.0,595624000.0
282,2018-02-02,ADA-USD,0.3905340135097503,1438809984.0,1438809984.0,1438809984.0,1438809984.0,1438809984.0
283,2018-02-03,ADA-USD,0.438836008310318,1404499968.0,1404499968.0,1404499968.0,1404499968.0,1404499968.0
284,2018-02-04,ADA-USD,0.3793030083179474,814753984.0,814753984.0,814753984.0,814753984.0,814753984.0
285,2018-02-05,ADA-USD,0.3273710012435913,658547968.0,658547968.0,658547968.0,658547968.0,658547968.0
286,2018-02-06,ADA-USD,0.3697530031204223,1338390016.0,1338390016.0,1338390016.0,1338390016.0,1338390016.0
287,2018-02-07,ADA-USD,0.3404470086097717,679744000.0,679744000.0,679744000.0,679744000.0,679744000.0
288,2018-02-08,ADA-USD,0.3565840125083923,346383008.0,346383008.0,346383008.0,346383008.0,346383008.0
289,2018-02-09,ADA-USD,0.3916020095348358,401271008.0,401271008.0,401271008.0,401271008.0,401271008.0
290,2018-02-10,ADA-USD,0.4058719873428345,951824000.0,951824000.0,951824000.0,951824000.0,951824000.0
